COLEGIO;COLEGIO_TIPO
00004 MARIA MONTESSORI;Publica
0001;Publica
0001 (Básica Especial - Primaria);Publica
0001 MARIA AUXILIADORA;Publica
0001 SEÑOR DE LOS MILAGROS;Publica
0002 HERMANO ANSELMO MARIA;Publica
0002 NICOLAS GUILLERMO VELASQUEZ LINARES;Publica
00022;Publica
00022 SAN JUAN DEL MAYO;Publica
0003;Publica
0003 EL DORADO;Publica
0003 NUESTRA SEÑORA DEL CARMEN;Publica
0004 TUPAC AMARU;Publica
0005 ANTONIO RAYMONDI;Publica
0005 DANIEL ALCIDES CARRION;Publica
0005 ROSA DE SANTA MARIA;Publica
0006;Publica
0006 APLICACION;Publica
0007 MANUEL GONZALES PRADA;Publica
0009 JOSE MARIA ARGUEDAS;Publica
001 JOSE LISHNER TUDELA;Publica
0010 JULIO PIZARRO CARDENAS;Publica
00108;Publica
0011;Publica
00110 LINORIO CHAVEZ HERNANDEZ;Publica
00112 JUAN PABLO II;Publica
00113;Publica
00114;Publica
00116;Publica
0013 BERNARDO O'HIGGINS;Publica
0013 MAXIMINO CEREZO BARREDO;Publica
00136;Publica
0014 JUAN VELASCO ALVARADO;Publica
00145;Publica
0015 JOSE SANTOS CHOCANO GASTAÑODI;Publica
00150;Publica
00154;Publica
0016 JOSE GABRIEL CONDORCANQUI;Publica
00161;Publica
00168 SAN MIGUEL ARCANGEL;Publica
00170;Publica
00170 NACIENTE DEL RIO NEGRO;Publica
00172 JOSE LUIS PURIZACA ALDANA;Publica
00179;Publica
00186;Publica
0020;Publica
0020 ERNESTO CHAVEZ TAMARIZ;Publica
0025 MIGUEL ANTONIO PINEDO VASQUEZ;Publica
0025 SAN MARTIN DE PORRES;Publica
0025 SAN MARTIN DE PORRES (ATE);Publica
0026;Publica
0026 AICHI NAGOYA;Publica
0026 AICHI NAGOYA (ATE);Publica
0027 SAN ANTONIO JICAMARCA;Publica
0028 JESUS Y MARIA;Publica
0029 JUAN VELASCO ALVARADO;Publica
0029 MARCO PUENTE LLANOS;Publica
00290;Publica
00291;Publica
0031 MARIA ULISES DAVILA PINEDO;Publica
0031 ROBERT F. KENNEDY;Publica
0032 RAUL PORRAS BARRENECHEA;Publica
0033 VIRGILIO ESPINOZA BARRIOS;Publica
0034;Publica
0035 NUESTRA SEÑORA DE LA VISITACION;Publica
0040 HIPOLITO UNANUE;Publica
0045 SAN ANTONIO;Publica
00474 GERMAN TEJADA VELA;Publica
0050 ABRAHAM CARDENAS RUIZ;Publica
00500 GERMAN ROJAS VELA;Publica
0051 CLORINDA MATTO DE TURNER;Publica
0051 JOSE F. SANCHEZ CARRION;Publica
00514 MONSEÑOR VENANCIO CELESTINO ORBE URIARTE;Publica
0053 SAN VICENTE DE PAUL;Publica
