CARRERA;CARRERA_EST;FACULTAD
ADMINISTRACION;ADMINISTRACION;FACULTAD DE NEGOCIOS
Administración;ADMINISTRACION;FACULTAD DE NEGOCIOS
ADMINISTRACION BANCARIA Y FINANCIERA;ADMINISTRACION BANCARIA Y FINANCIERA;FACULTAD DE NEGOCIOS
Administración de Banca y Finanzas;ADMINISTRACION BANCARIA Y FINANCIERA;FACULTAD DE NEGOCIOS
Administración de negocios internacionales;ADMINISTRACION;FACULTAD DE NEGOCIOS
ADMINISTRACIÓN Y CIENCIAS POLICIALES;ADMINISTRACION;FACULTAD DE NEGOCIOS
ADMINISTRACION Y GESTION COMERCIAL;ADMINISTRACION Y GESTION COMERCIAL;FACULTAD DE NEGOCIOS
ADMINISTRACION Y GESTION DEL EMPRENDIEMIENTO;ADMINISTRACION Y GESTION DEL EMPRENDIEMIENTO;FACULTAD DE NEGOCIOS
ADMINISTRACION Y GESTION DEL TALENTO HUMANO;ADMINISTRACION Y GESTION DEL TALENTO HUMANO;FACULTAD DE NEGOCIOS
ADMINISTRACIÓN Y GESTIÓN EMPRESARIAL;ADMINISTRACIÓN Y GESTIÓN EMPRESARIAL;FACULTAD DE CARRERAS UVM
ADMINISTRACION Y GESTION PUBLICA;ADMINISTRACION Y GESTION PUBLICA;FACULTAD DE NEGOCIOS
ADMINISTRACION Y MARKETING;ADMINISTRACION Y MARKETING;FACULTAD DE NEGOCIOS
ADMINISTRACION Y NEGOCIOS INTERNACIONALES;ADMINISTRACION Y NEGOCIOS INTERNACIONALES;FACULTAD DE NEGOCIOS
ADMINISTRACION Y SERVICIOS TURISTICOS;ADMINISTRACION Y SERVICIOS TURISTICOS;FACULTAD DE NEGOCIOS
ANIMACIÓN DIGITAL;ANIMACIÓN DIGITAL;OTROS
ARQUEOLOGÍA;ARQUEOLOGÍA;OTROS
ARQUITECTURA;ARQUITECTURA;FACULTAD DE ARQUITECTURA
ARQUITECTURA Y DISEÑO DE INTERIORES;ARQUITECTURA Y DISEÑO DE INTERIORES;FACULTAD DE ARQUITECTURA
ARQUITECTURA Y GERENCIA DE PROYECTOS;ARQUITECTURA;FACULTAD DE ARQUITECTURA
ARQUITECTURA Y GESTIÓN DE PROYECTOS;ARQUITECTURA Y GESTIÓN DE PROYECTOS;FACULTAD DE ARQUITECTURA
ARQUITECTURA Y URBANISMO;ARQUITECTURA Y URBANISMO;FACULTAD DE ARQUITECTURA
ARTES;ARTES;OTROS
BIOLOGÍA;BIOLOGÍA;OTROS
CIENCIAS DEL DEPORTE;CIENCIAS DEL DEPORTE;OTROS
COMUNICACION;COMUNICACION;FACULTAD DE COMUNICACIONES
Comunicación audiovisual;COMUNICACION;FACULTAD DE COMUNICACIONES
COMUNICACION AUDIOVISUAL EN MEDIOS DIGITALES;COMUNICACION AUDIOVISUAL EN MEDIOS DIGITALES;FACULTAD DE COMUNICACIONES
COMUNICACION CORPORATIVA;COMUNICACION CORPORATIVA;FACULTAD DE COMUNICACIONES
COMUNICACION Y DISEÑO GRAFICO;COMUNICACION Y DISEÑO GRAFICO;FACULTAD DE COMUNICACIONES
COMUNICACION Y MARKETING DIGITAL;COMUNICACION Y MARKETING DIGITAL;FACULTAD DE COMUNICACIONES
COMUNICACION Y PERIODISMO;COMUNICACION Y PERIODISMO;FACULTAD DE COMUNICACIONES
COMUNICACION Y PUBLICIDAD;COMUNICACION Y PUBLICIDAD;FACULTAD DE COMUNICACIONES
Comunicaciones;COMUNICACION;FACULTAD DE COMUNICACIONES
CONTABILIDAD Y FINANZAS;CONTABILIDAD Y FINANZAS;FACULTAD DE NEGOCIOS
Cosmetología;Cosmetología;OTROS
DERECHO Y CIENCIAS POLITICAS;DERECHO Y CIENCIAS POLITICAS;FACULTAD DE DERECHO
Derecho y Ciencias Políticas;DERECHO Y CIENCIAS POLITICAS;FACULTAD DE DERECHO
DIPLOMADO EN FINANZAS Y EMPRESA;DIPLOMADO EN FINANZAS Y EMPRESA;ESPECIALIZACIONES
DIPLOMADO EN GESTION DEL TALENTO HUMANO;DIPLOMADO EN GESTION DEL TALENTO HUMANO;ESPECIALIZACIONES
DIPLOMADO EN GESTION FINANCIERA;DIPLOMADO EN GESTION FINANCIERA;ESPECIALIZACIONES
DIPLOMADO EN GESTION LOGÍSTICA;DIPLOMADO EN GESTION LOGÍSTICA;ESPECIALIZACIONES
DIPLOMADO EN GESTIÓN PÚBLICA;DIPLOMADO EN GESTIÓN PÚBLICA;ESPECIALIZACIONES
DIPLOMADO EN GESTION Y RESOLUCION DE CONFLICTOS;DIPLOMADO EN GESTION Y RESOLUCION DE CONFLICTOS;ESPECIALIZACIONES
DIPLOMADO EN INVESTIGACIÓN EN CIENCIAS SOCIALES;DIPLOMADO EN INVESTIGACIÓN EN CIENCIAS SOCIALES;ESPECIALIZACIONES
DIPLOMADO EN MARKETING DIGITAL;DIPLOMADO EN MARKETING DIGITAL;ESPECIALIZACIONES
DIPLOMADO EN PROCESOS Y MEJORA CONTINUA;DIPLOMADO EN PROCESOS Y MEJORA CONTINUA;ESPECIALIZACIONES
DISEÑO DE INTERIORES;ARQUITECTURA Y DISEÑO DE INTERIORES;FACULTAD DE ARQUITECTURA
DISEÑO DE MODAS;DISEÑO DE MODAS;OTROS
DISEÑO DE VIDEOJUEGOS;DISEÑO DE VIDEOJUEGOS;OTROS
DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;FACULTAD DE ARQUITECTURA
ECONOMIA;ECONOMIA;FACULTAD DE NEGOCIOS
Economía Internacional;ECONOMIA Y NEGOCIOS INTERNACIONALES;FACULTAD DE NEGOCIOS
ECONOMIA Y NEGOCIOS INTERNACIONALES;ECONOMIA Y NEGOCIOS INTERNACIONALES;FACULTAD DE NEGOCIOS
Educación;EDUCACION Y GESTION DEL APRENDIZAJE;FACULTAD DE EDUCACIÓN
EDUCACION INICIAL;EDUCACION INICIAL;FACULTAD DE EDUCACIÓN
EDUCACION PRIMARIA;EDUCACION PRIMARIA;FACULTAD DE EDUCACIÓN
EDUCACION Y GESTION DEL APRENDIZAJE;EDUCACION Y GESTION DEL APRENDIZAJE;FACULTAD DE EDUCACIÓN
ENFERMERIA;ENFERMERIA;FACULTAD DE SALUD
ESPECIALIZACION EN SEGURIDAD Y SALUD EN EL TRABAJO;ESPECIALIZACION EN SEGURIDAD Y SALUD EN EL TRABAJO;ESPECIALIZACIONES
ESPECIALIZACION EXCEL PARA GESTION EMPRESARIAL: TRANSFORMA. FUNCIONES BASICAS EN DASHBOARDS AVANZADO;ESPECIALIZACION EXCEL PARA GESTION EMPRESARIAL: TRANSFORMA. FUNCIONES BASICAS EN DASHBOARDS AVANZADO;ESPECIALIZACIONES
FARMACIA;FARMACIA Y BIOQUÍMICA;FACULTAD DE SALUD
FARMACIA Y BIOQUÍMICA;FARMACIA Y BIOQUÍMICA;FACULTAD DE SALUD
FOTOGRAFÍA;FOTOGRAFÍA;OTROS
FUERA DE PORTAFOLIO;FUERA DE PORTAFOLIO;FUERA DE PORTAFOLIO
Gastronomía;GASTRONOMIA Y GESTION DE RESTAURANTES;FACULTAD DE NEGOCIOS
GASTRONOMIA Y GESTION DE RESTAURANTES;GASTRONOMIA Y GESTION DE RESTAURANTES;FACULTAD DE NEGOCIOS
INGENIERÍA AERONÁUTICA;INGENIERÍA AERONÁUTICA;FACULTAD DE INGENIERÍA
INGENIERIA AGROINDUSTRIAL;INGENIERIA AGROINDUSTRIAL;FACULTAD DE INGENIERÍA
INGENIERÍA ALIMENTARIA;INGENIERÍA ALIMENTARIA;FACULTAD DE INGENIERÍA
INGENIERIA AMBIENTAL;INGENIERIA AMBIENTAL;FACULTAD DE INGENIERÍA
INGENIERÍA AUTOMOTRIZ;INGENIERÍA AUTOMOTRIZ;FACULTAD DE INGENIERÍA
INGENIERÍA BIOMÉDICA;INGENIERÍA BIOMÉDICA;FACULTAD DE INGENIERÍA
INGENIERIA CIVIL;INGENIERIA CIVIL;FACULTAD DE INGENIERÍA
INGENIERIA DE MINAS;INGENIERIA DE MINAS;FACULTAD DE INGENIERÍA
Ingeniería de Minas;INGENIERIA DE MINAS;FACULTAD DE INGENIERÍA
Ingeniería de Sistemas;INGENIERIA DE SISTEMAS COMPUTACIONALES;FACULTAD DE INGENIERÍA
INGENIERIA DE SISTEMAS COMPUTACIONALES;INGENIERIA DE SISTEMAS COMPUTACIONALES;FACULTAD DE INGENIERÍA
Ingeniería de Sistemas y Computación;INGENIERIA DE SISTEMAS COMPUTACIONALES;FACULTAD DE INGENIERÍA
INGENIERÍA DE SISTEMAS Y REDES;INGENIERÍA DE SISTEMAS Y REDES;FACULTAD DE CARRERAS UVM
INGENIERÍA DE SOFTWARE;INGENIERÍA DE SOFTWARE;FACULTAD DE INGENIERÍA
INGENIERÍA DE TELECOMUNICACIONES;INGENIERÍA DE TELECOMUNICACIONES;FACULTAD DE INGENIERÍA
INGENIERÍA ELÉCTRICA;INGENIERÍA ELÉCTRICA;FACULTAD DE INGENIERÍA
INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;FACULTAD DE INGENIERÍA
INGENIERIA EMPRESARIAL;INGENIERIA EMPRESARIAL;FACULTAD DE INGENIERÍA
INGENIERIA EN CIENCIA DE DATOS;INGENIERIA EN CIENCIA DE DATOS;FACULTAD DE INGENIERÍA
INGENIERIA GEOLOGICA;INGENIERIA GEOLOGICA;FACULTAD DE INGENIERÍA
Ingeniería Geológica;INGENIERIA GEOLOGICA;FACULTAD DE INGENIERÍA
INGENIERIA INDUSTRIAL;INGENIERIA INDUSTRIAL;FACULTAD DE INGENIERÍA
INGENIERIA LOGISTICA Y TRANSPORTE;INGENIERIA LOGISTICA Y TRANSPORTE;FACULTAD DE INGENIERÍA
INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;FACULTAD DE INGENIERÍA
INGENIERÍA QUÍMICA;INGENIERÍA QUÍMICA;FACULTAD DE INGENIERÍA
MAESTRIA EJECUTIVA EN ADMINISTRACION DE EMPRESAS;MAESTRIA EJECUTIVA EN ADMINISTRACION DE EMPRESAS;ESPECIALIZACIONES
MAESTRIA MÓDULO DE INVESTIGACIÓN ESPECIALIZADO;MAESTRIA MÓDULO DE INVESTIGACIÓN ESPECIALIZADO;ESPECIALIZACIONES
