LEAD_ID,CAMPAÑA,BASE_ST,TIPO_ESTUDIANTE,CAMPUS,FUENTE_ORIGEN,CARRERA,FACULTAD,COLEGIO,PM,FECHA_REGISTRO,EDAD,AÑO_EGRESO,DEPARTAMENTO,PROVINCIA,DISTRITO,FECHA_PM,COLEGIO_TIPO,FECHA_ULT_VALORACION,RANGO_EDAD,RANGO_EGRESO,REG,UND,GENERO
b4bf0321-d68b-f011-b4cc-6045bd39511e,2026-01,RECICLADOS PARA MKT DIRECTO,Nuevo,OLIVOS,Reciclado,COMUNICACION Y DISEÑO GRAFICO,FACULTAD DE COMUNICACIONES,3098 CESAR VALLEJO,0,2025-09-01 12:00:00,0,2022.0,LIMA,LIMA,ANCON,,Publica,,[Otros],Egresos 2022,1,PG,Masculino
b4bf25c6-068c-f011-b4cc-000d3a8857b7,2026-01,RECICLADOS PARA MKT DIRECTO,Nuevo,OLIVOS,Reciclado,ADMINISTRACION,FACULTAD DE NEGOCIOS,SIN DATO,0,2025-09-01 12:00:00,43,0.0,PIURA,PIURA,PIURA,,SIN DATO,,[>40],SIN DATO,1,WA,SIN DATO
b4bf4946-0489-f011-b4cb-6045bd393fce,2026-01,RECICLADOS PARA MKT DIRECTO,Nuevo,OLIVOS,Reciclado,CONTABILIDAD Y FINANZAS,FACULTAD DE NEGOCIOS,SIN DATO,0,2025-09-01 12:00:00,31,0.0,LIMA,LIMA,LOS OLIVOS,,SIN DATO,,[31 - 35],SIN DATO,1,WA,Masculino
b4bf5574-d58b-f011-b4cb-000d3ac1aab3,2026-01,RECICLADOS PARA MKT DIRECTO,Nuevo,COMAS,Reciclado,CONTABILIDAD Y FINANZAS,FACULTAD DE NEGOCIOS,5172 HIJOS DE LUYA,0,2025-09-01 12:00:00,0,0.0,LIMA,LIMA,PUENTE PIEDRA,,Publica,,[Otros],SIN DATO,1,PG,SIN DATO
b4bf5b5a-f1bc-f011-bbd3-00224837e424,2026-01,COLEGIOS,Nuevo,SUR,Colegios,DERECHO Y CIENCIAS POLITICAS,FACULTAD DE DERECHO,20874,0,2025-11-08 12:00:00,17,2025.0,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,,Publica,2025-12-11 12:00:00,[15 - 17],Egresos 2025,1,PG,SIN DATO
b4bf5e87-fc8a-f011-b4cb-6045bd393fce,2026-01,RECICLADOS PARA MKT DIRECTO,Nuevo,CAX,Reciclado,INGENIERIA DE SISTEMAS COMPUTACIONALES,FACULTAD DE INGENIERÍA,SAN JUAN,0,2025-09-01 12:00:00,0,0.0,CAJAMARCA,CHOTA,CHOTA,,Publica,,[Otros],SIN DATO,1,PG,Femenino
b4bf6138-84af-ef11-a72e-002248dfb440,2026-01,COLEGIOS,Nuevo,SUR,Colegios,ENFERMERIA,FACULTAD DE SALUD,JUAN GUERRERO QUIMPER,0,2025-09-01 12:00:00,0,2025.0,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,,Publica,2026-02-06 12:00:00,[Otros],Egresos 2025,1,PG,
b4bf6ade-b38b-f011-b4cb-000d3ac1f548,2026-01,RECICLADOS PARA MKT DIRECTO,Nuevo,BREÑA,Reciclado,ADMINISTRACION BANCARIA Y FINANCIERA,FACULTAD DE NEGOCIOS,SIN DATO,0,2025-09-01 12:00:00,26,0.0,LIMA,LIMA,LIMA,,SIN DATO,,[26 - 30],SIN DATO,1,PG,SIN DATO
b4bf71ff-738b-f011-b4cb-000d3ac1aab3,2026-01,RECICLADOS,Nuevo,OLIVOS,Reciclado,SIN DATO,SIN DATO,SIN DATO,0,2025-09-01 12:00:00,28,0.0,CAJAMARCA,CAJAMARCA,CAJAMARCA,,SIN DATO,,[26 - 30],SIN DATO,1,PG,SIN DATO
b4bf747c-4a33-ef11-8e4e-002248df62f9,2026-01,COLEGIOS,Nuevo,OLIVOS,Colegios,COMUNICACION Y MARKETING DIGITAL,FACULTAD DE COMUNICACIONES,2078 NUESTRA SEÑORA DE LOURDES,1,2025-09-01 12:00:00,16,2025.0,LIMA,LIMA,CARABAYLLO,2026-01-02,Publica,2026-01-05 12:00:00,[15 - 17],Egresos 2025,1,PG,Femenino
b4bf7a16-498b-f011-b4cc-000d3ac084a3,2026-01,RECICLADOS PARA MKT DIRECTO,Nuevo,BREÑA,Reciclado,INGENIERIA INDUSTRIAL,FACULTAD DE INGENIERÍA,3015 LOS ANGELES DE JESUS,0,2025-09-01 12:00:00,0,2023.0,LIMA,LIMA,RIMAC,,Publica,,[Otros],Egresos 2023,1,PG,SIN DATO
b4d22279-ce8b-f011-b4cb-000d3a88e4b0,2026-01,RECICLADOS PARA MKT DIRECTO,Nuevo,BREÑA,Reciclado,ADMINISTRACION,FACULTAD DE NEGOCIOS,SACO OLIVEROS DE SAN FELIPE,0,2025-09-01 12:00:00,0,0.0,LIMA,LIMA,JESUS MARIA,,Privada,,[Otros],SIN DATO,1,PG,SIN DATO
